variavel|descricao_var|codigo|descricao_cod
municipio|Código do Município|110026|Ro-Rio Crespo
municipio|Código do Município|110028|Ro-Rolim de Moura
municipio|Código do Município|110029|Ro-Santa Luzia D Oeste
municipio|Código do Município|110030|Ro-Vilhena
municipio|Código do Município|110032|Ro-Sao Miguel do Guapore
municipio|Código do Município|110033|Ro-Nova Mamore
municipio|Código do Município|110034|Ro-Alvorada D Oeste
municipio|Código do Município|110037|Ro-Alto Alegre dos Parecis
municipio|Código do Município|110040|Ro-Alto Paraiso
municipio|Código do Município|110045|Ro-Buritis
municipio|Código do Município|110050|Ro-Novo Horizonte do Oeste
municipio|Código do Município|110060|Ro-Cacaulandia
municipio|Código do Município|110070|Ro-Campo Novo de Rondonia
municipio|Código do Município|110080|Ro-Candeias do Jamari
municipio|Código do Município|110090|Ro-Castanheiras
municipio|Código do Município|110092|Ro-Chupinguaia
municipio|Código do Município|110094|Ro-Cujubim
municipio|Código do Município|110100|Ro-Governador Jorge Teixeira
municipio|Código do Município|110110|Ro-Itapua do Oeste
municipio|Código do Município|110120|Ro-Ministro Andreazza
municipio|Código do Município|110130|Ro-Mirante da Serra
municipio|Código do Município|110140|Ro-Monte Negro
municipio|Código do Município|110143|Ro-Nova Uniao
municipio|Código do Município|110145|Ro-Parecis
municipio|Código do Município|110146|Ro-Pimenteiras do Oeste
municipio|Código do Município|110147|Ro-Primavera da Rondonia
municipio|Código do Município|110148|Ro-Sao Felipe D Oeste
municipio|Código do Município|110149|Ro-Sao Francisco do Guapore
municipio|Código do Município|110150|Ro-Seringueiras
municipio|Código do Município|110155|Ro-Teixeiropolis
municipio|Código do Município|110160|Ro-Theobroma
municipio|Código do Município|110170|Ro-Urupa
municipio|Código do Município|110175|Ro-Vale do Anari
municipio|Código do Município|110180|Ro-Vale do Paraiso
municipio|Código do Município|119999|Ro-Ignorado
municipio|Código do Município|120001|Ac-Acrelandia
municipio|Código do Município|120005|Ac-Assis Brasil
municipio|Código do Município|120010|Ac-Brasileia
municipio|Código do Município|120013|Ac-Bujari
municipio|Código do Município|120017|Ac-Capixaba
municipio|Código do Município|120020|Ac-Cruzeiro do Sul
municipio|Código do Município|120025|Ac-Epitaciolandia
municipio|Código do Município|120030|Ac-Feijo
municipio|Código do Município|120032|Ac-Jordao
municipio|Código do Município|120033|Ac-Mancio Lima
municipio|Código do Município|120034|Ac-Manoel Urbano
municipio|Código do Município|120035|Ac-Marechal Thaumaturgo
municipio|Código do Município|120038|Ac-Placido de Castro
municipio|Código do Município|120039|Ac-Porto Walter
municipio|Código do Município|120040|Ac-Rio Branco
municipio|Código do Município|120042|Ac-Rodrigues Alves
municipio|Código do Município|120043|Ac-Santa Rosa do Purus
municipio|Código do Município|120045|Ac-Senador Guiomard
municipio|Código do Município|120050|Ac-Sena Madureira
municipio|Código do Município|120060|Ac-Tarauaca
municipio|Código do Município|120070|Ac-Xapuri
municipio|Código do Município|120080|Ac-Porto Acre
municipio|Código do Município|129999|Ac-Ignorado
municipio|Código do Município|130002|Am-Alvaraes
municipio|Código do Município|130006|Am-Amatura
municipio|Código do Município|130008|Am-Anama
municipio|Código do Município|130010|Am-Anori
municipio|Código do Município|130014|Am-Apui
municipio|Código do Município|130020|Am-Atalaia do Norte
municipio|Código do Município|130030|Am-Autazes
municipio|Código do Município|130040|Am-Barcelos
municipio|Código do Município|130050|Am-Barreirinha
municipio|Código do Município|130060|Am-Benjamin Constant
municipio|Código do Município|130063|Am-Beruri
municipio|Código do Município|130068|Am-Boa Vista do Ramos
municipio|Código do Município|130070|Am-Boca do Acre
municipio|Código do Município|130080|Am-Borba
municipio|Código do Município|130083|Am-Caapiranga
municipio|Código do Município|130090|Am-Canutama
municipio|Código do Município|130100|Am-Carauari
municipio|Código do Município|130110|Am-Careiro
municipio|Código do Município|130115|Am-Careiro da Varzea
municipio|Código do Município|130120|Am-Coari
municipio|Código do Município|130130|Am-Codajas
municipio|Código do Município|130140|Am-Eirunepe
municipio|Código do Município|130150|Am-Envira
municipio|Código do Município|130160|Am-Fonte Boa
municipio|Código do Município|130165|Am-Guajara
municipio|Código do Município|130170|Am-Humaita
municipio|Código do Município|130180|Am-Ipixuna
municipio|Código do Município|130185|Am-Iranduba
municipio|Código do Município|130190|Am-Itacoatiara
municipio|Código do Município|130195|Am-Itamarati
municipio|Código do Município|130200|Am-Itapiranga
municipio|Código do Município|130210|Am-Japura
municipio|Código do Município|130220|Am-Jurua
municipio|Código do Município|130230|Am-Jutai
municipio|Código do Município|130240|Am-Labrea
municipio|Código do Município|130250|Am-Manacapuru
municipio|Código do Município|130255|Am-Manaquiri
municipio|Código do Município|130260|Am-Manaus
municipio|Código do Município|130270|Am-Manicore
municipio|Código do Município|130280|Am-Maraa
municipio|Código do Município|130290|Am-Maues
municipio|Código do Município|130300|Am-Nhamunda
municipio|Código do Município|130310|Am-Nova Olinda do Norte
municipio|Código do Município|130320|Am-Novo Airao
municipio|Código do Município|130330|Am-Novo Aripuana
municipio|Código do Município|130340|Am-Parintins
municipio|Código do Município|130350|Am-Pauini
municipio|Código do Município|130353|Am-Presidente Figueiredo
municipio|Código do Município|130356|Am-Rio Preto da Eva
municipio|Código do Município|130360|Am-Santa Isabel do Rio Negro
municipio|Código do Município|130370|Am-Santo Antonio do Ica
municipio|Código do Município|130380|Am-Sao Gabriel da Cachoeira
municipio|Código do Município|130390|Am-Sao Paulo de Olivenca
municipio|Código do Município|130395|Am-Sao Sebastiao do Uatuma
municipio|Código do Município|130400|Am-Silves
municipio|Código do Município|130406|Am-Tabatinga
municipio|Código do Município|130410|Am-Tapaua
municipio|Código do Município|130420|Am-Tefe
municipio|Código do Município|130423|Am-Tonantins
municipio|Código do Município|130426|Am-Uarini
municipio|Código do Município|130430|Am-Urucara
municipio|Código do Município|130440|Am-Urucurituba
municipio|Código do Município|139999|Am-Ignorado
municipio|Código do Município|140002|Rr-Amajari
municipio|Código do Município|140005|Rr-Alto Alegre
municipio|Código do Município|140010|Rr-Boa Vista
municipio|Código do Município|140015|Rr-Bonfim
municipio|Código do Município|140017|Rr-Canta
municipio|Código do Município|140020|Rr-Caracarai
municipio|Código do Município|140023|Rr-Caroebe
municipio|Código do Município|140028|Rr-Iracema
municipio|Código do Município|140030|Rr-Mucajai
municipio|Código do Município|140040|Rr-Normandia
municipio|Código do Município|140045|Rr-Pacaraima
municipio|Código do Município|140047|Rr-Rorainopolis
municipio|Código do Município|140050|Rr-Sao Joao da Baliza
municipio|Código do Município|140060|Rr-Sao Luiz
municipio|Código do Município|140070|Rr-Uiramuta
municipio|Código do Município|149999|Rr-Ignorado
municipio|Código do Município|150010|Pa-Abaetetuba
municipio|Código do Município|150013|Pa-Abel Figueiredo
municipio|Código do Município|150020|Pa-Acara
municipio|Código do Município|150030|Pa-Afua
municipio|Código do Município|150034|Pa-Agua Azul do Norte
municipio|Código do Município|150040|Pa-Alenquer
municipio|Código do Município|150050|Pa-Almeirim
municipio|Código do Município|150060|Pa-Altamira
municipio|Código do Município|150070|Pa-Anajas
municipio|Código do Município|150080|Pa-Ananindeua
municipio|Código do Município|150085|Pa-Anapu
municipio|Código do Município|150090|Pa-Augusto Correa
municipio|Código do Município|150095|Pa-Aurora do Para
municipio|Código do Município|150100|Pa-Aveiro
municipio|Código do Município|150110|Pa-Bagre
municipio|Código do Município|150120|Pa-Baiao
municipio|Código do Município|150125|Pa-Bannach
municipio|Código do Município|150130|Pa-Barcarena
municipio|Código do Município|150140|Pa-Belem
municipio|Código do Município|150145|Pa-Belterra
municipio|Código do Município|150150|Pa-Benevides
municipio|Código do Município|150157|Pa-Bom Jesus do Tocantins
municipio|Código do Município|150160|Pa-Bonito
municipio|Código do Município|150170|Pa-Braganca
municipio|Código do Município|150172|Pa-Brasil Novo
municipio|Código do Município|150175|Pa-Brejo Grande do Araguaia
municipio|Código do Município|150178|Pa-Breu Branco
municipio|Código do Município|150180|Pa-Breves
municipio|Código do Município|150190|Pa-Bujaru
municipio|Código do Município|150195|Pa-Cachoeira do Piria
municipio|Código do Município|150200|Pa-Cachoeira do Arari
municipio|Código do Município|150210|Pa-Cameta
municipio|Código do Município|150215|Pa-Canaa dos Carajas
municipio|Código do Município|150220|Pa-Capanema
municipio|Código do Município|150230|Pa-Capitao Poco
municipio|Código do Município|150240|Pa-Castanhal
municipio|Código do Município|150250|Pa-Chaves
municipio|Código do Município|150260|Pa-Colares
municipio|Código do Município|150270|Pa-Conceicao do Araguaia
municipio|Código do Município|150275|Pa-Concordia do Para
municipio|Código do Município|150276|Pa-Cumaru do Norte
municipio|Código do Município|150277|Pa-Curionopolis
municipio|Código do Município|150280|Pa-Curralinho
municipio|Código do Município|150285|Pa-Curua
municipio|Código do Município|150290|Pa-Curuca
municipio|Código do Município|150293|Pa-Dom Eliseu
municipio|Código do Município|150295|Pa-Eldorado dos Carajas
municipio|Código do Município|150300|Pa-Faro
municipio|Código do Município|150304|Pa-Floresta do Araguaia
municipio|Código do Município|150307|Pa-Garrafao do Norte
municipio|Código do Município|150309|Pa-Goianesia do Para
municipio|Código do Município|150310|Pa-Gurupa
municipio|Código do Município|150320|Pa-Igarape-Acu
municipio|Código do Município|150330|Pa-Igarape-Miri
municipio|Código do Município|150340|Pa-Inhangapi
municipio|Código do Município|150345|Pa-Ipixuna do Para
municipio|Código do Município|150350|Pa-Irituia
municipio|Código do Município|150360|Pa-Itaituba
municipio|Código do Município|150370|Pa-Itupiranga
municipio|Código do Município|150375|Pa-Jacareacanga
municipio|Código do Município|150380|Pa-Jacunda
municipio|Código do Município|150390|Pa-Juruti
municipio|Código do Município|150400|Pa-Limoeiro do Ajuru
municipio|Código do Município|150405|Pa-Mae do Rio
municipio|Código do Município|150410|Pa-Magalhaes Barata
municipio|Código do Município|150420|Pa-Maraba
municipio|Código do Município|150430|Pa-Maracana
municipio|Código do Município|150440|Pa-Marapanim
municipio|Código do Município|150442|Pa-Marituba
municipio|Código do Município|150445|Pa-Medicilandia
municipio|Código do Município|150450|Pa-Melgaco
municipio|Código do Município|150460|Pa-Mocajuba
municipio|Código do Município|150470|Pa-Moju
municipio|Código do Município|150475|Pa-Mojui dos Campos
municipio|Código do Município|150480|Pa-Monte Alegre
municipio|Código do Município|150490|Pa-Muana
municipio|Código do Município|150495|Pa-Nova Esperanca do Piria
municipio|Código do Município|150497|Pa-Nova Ipixuna
municipio|Código do Município|150500|Pa-Nova Timboteua
municipio|Código do Município|150503|Pa-Novo Progresso
municipio|Código do Município|150506|Pa-Novo Repartimento
municipio|Código do Município|150510|Pa-Obidos
municipio|Código do Município|150520|Pa-Oeiras do Para
municipio|Código do Município|150530|Pa-Oriximina
municipio|Código do Município|150540|Pa-Ourem
municipio|Código do Município|150543|Pa-Ourilandia do Norte
municipio|Código do Município|150548|Pa-Pacaja
municipio|Código do Município|150549|Pa-Palestina do Para
municipio|Código do Município|150550|Pa-Paragominas
municipio|Código do Município|150553|Pa-Parauapebas
municipio|Código do Município|150555|Pa-Pau D Arco
municipio|Código do Município|150560|Pa-Peixe-Boi
municipio|Código do Município|150563|Pa-Picarra
municipio|Código do Município|150565|Pa-Placas
municipio|Código do Município|150570|Pa-Ponta de Pedras
municipio|Código do Município|150580|Pa-Portel
municipio|Código do Município|150590|Pa-Porto de Moz
municipio|Código do Município|150600|Pa-Prainha
municipio|Código do Município|150610|Pa-Primavera
municipio|Código do Município|150611|Pa-Quatipuru
municipio|Código do Município|150613|Pa-Redencao
municipio|Código do Município|150616|Pa-Rio Maria
municipio|Código do Município|150618|Pa-Rondon do Para
municipio|Código do Município|150619|Pa-Ruropolis
municipio|Código do Município|150620|Pa-Salinopolis
municipio|Código do Município|150630|Pa-Salvaterra
municipio|Código do Município|150635|Pa-Santa Barbara do Para
municipio|Código do Município|150640|Pa-Santa Cruz do Arari
municipio|Código do Município|150650|Pa-Santa Isabel do Para
municipio|Código do Município|150655|Pa-Santa Luzia do Para
municipio|Código do Município|150658|Pa-Santa Maria das Barreiras
municipio|Código do Município|150660|Pa-Santa Maria do Para
municipio|Código do Município|150670|Pa-Santana do Araguaia
municipio|Código do Município|150680|Pa-Santarem
municipio|Código do Município|150690|Pa-Santarem Novo
municipio|Código do Município|150700|Pa-Santo Antonio do Taua
municipio|Código do Município|150710|Pa-Sao Caetano de Odivelas
municipio|Código do Município|150715|Pa-Sao Domingos do Araguaia
municipio|Código do Município|150720|Pa-Sao Domingos do Capim
municipio|Código do Município|150730|Pa-Sao Felix do Xingu
municipio|Código do Município|150740|Pa-Sao Francisco do Para
municipio|Código do Município|150745|Pa-Sao Geraldo do Araguaia
municipio|Código do Município|150746|Pa-Sao Joao da Ponta
municipio|Código do Município|150747|Pa-Sao Joao de Pirabas
municipio|Código do Município|150750|Pa-Sao Joao do Araguaia
municipio|Código do Município|150760|Pa-Sao Miguel do Guama
municipio|Código do Município|150770|Pa-Sao Sebastiao da Boa Vista
municipio|Código do Município|150775|Pa-Sapucaia
municipio|Código do Município|150780|Pa-Senador Jose Porfirio
municipio|Código do Município|150790|Pa-Soure
municipio|Código do Município|150795|Pa-Tailandia
municipio|Código do Município|150796|Pa-Terra Alta
municipio|Código do Município|150797|Pa-Terra Santa
municipio|Código do Município|150800|Pa-Tome-Acu
municipio|Código do Município|150803|Pa-Tracuateua
municipio|Código do Município|150805|Pa-Trairao
municipio|Código do Município|150808|Pa-Tucuma
municipio|Código do Município|150810|Pa-Tucurui
municipio|Código do Município|150812|Pa-Ulianopolis
municipio|Código do Município|150815|Pa-Uruara
municipio|Código do Município|150820|Pa-Vigia
municipio|Código do Município|150830|Pa-Viseu
municipio|Código do Município|150835|Pa-Vitoria do Xingu
municipio|Código do Município|150840|Pa-Xinguara
municipio|Código do Município|159999|Pa-Ignorado
municipio|Código do Município|160005|Ap-Serra do Navio
municipio|Código do Município|160010|Ap-Amapa
municipio|Código do Município|160015|Ap-Pedra Branca do Amapari
municipio|Código do Município|160020|Ap-Calcoene
municipio|Código do Município|160021|Ap-Cutias
municipio|Código do Município|160023|Ap-Ferreira Gomes
municipio|Código do Município|160025|Ap-Itaubal
municipio|Código do Município|160027|Ap-Laranjal do Jari
municipio|Código do Município|160030|Ap-Macapa
municipio|Código do Município|160040|Ap-Mazagao
municipio|Código do Município|160050|Ap-Oiapoque
municipio|Código do Município|160053|Ap-Porto Grande
municipio|Código do Município|160055|Ap-Pracuuba
municipio|Código do Município|160060|Ap-Santana
municipio|Código do Município|160070|Ap-Tartarugalzinho
municipio|Código do Município|160080|Ap-Vitoria do Jari
municipio|Código do Município|169999|Ap-Ignorado
municipio|Código do Município|170025|To-Abreulandia
municipio|Código do Município|170030|To-Aguiarnopolis
municipio|Código do Município|170035|To-Alianca do Tocantins
municipio|Código do Município|170040|To-Almas
municipio|Código do Município|170070|To-Alvorada
municipio|Código do Município|170100|To-Ananas
municipio|Código do Município|170105|To-Angico
municipio|Código do Município|170110|To-Aparecida do Rio Negro
municipio|Código do Município|170130|To-Aragominas
municipio|Código do Município|170190|To-Araguacema
municipio|Código do Município|170200|To-Araguacu
municipio|Código do Município|170210|To-Araguaina
municipio|Código do Município|170215|To-Araguana
municipio|Código do Município|170220|To-Araguatins
municipio|Código do Município|170230|To-Arapoema
municipio|Código do Município|170240|To-Arraias
municipio|Código do Município|170255|To-Augustinopolis
municipio|Código do Município|170270|To-Aurora do Tocantins
municipio|Código do Município|170290|To-Axixa do Tocantins
municipio|Código do Município|170300|To-Babaculandia
municipio|Código do Município|170305|To-Bandeirantes do Tocantins
municipio|Código do Município|170307|To-Barra do Ouro
municipio|Código do Município|170310|To-Barrolandia
municipio|Código do Município|170320|To-Bernardo Sayao
municipio|Código do Município|170330|To-Bom Jesus do Tocantins
municipio|Código do Município|170360|To-Brasilandia do Tocantins
municipio|Código do Município|170370|To-Brejinho de Nazare
municipio|Código do Município|170380|To-Buriti do Tocantins
municipio|Código do Município|170382|To-Cachoeirinha
municipio|Código do Município|170384|To-Campos Lindos
municipio|Código do Município|170386|To-Cariri do Tocantins
municipio|Código do Município|170388|To-Carmolandia
municipio|Código do Município|170389|To-Carrasco Bonito
municipio|Código do Município|170390|To-Caseara
municipio|Código do Município|170410|To-Centenario
municipio|Código do Município|170460|To-Chapada de Areia
municipio|Código do Município|170510|To-Chapada da Natividade
municipio|Código do Município|170550|To-Colinas do Tocantins
municipio|Código do Município|170555|To-Combinado
municipio|Código do Município|170560|To-Conceicao do Tocantins
municipio|Código do Município|170600|To-Couto de Magalhaes
municipio|Código do Município|170610|To-Cristalandia
municipio|Código do Município|170625|To-Crixas do Tocantins
municipio|Código do Município|170650|To-Darcinopolis
municipio|Código do Município|170700|To-Dianopolis
municipio|Código do Município|170710|To-Divinopolis do Tocantins
municipio|Código do Município|170720|To-Dois Irmaos do Tocantins
municipio|Código do Município|170730|To-Duere
municipio|Código do Município|170740|To-Esperantina
municipio|Código do Município|170755|To-Fatima
municipio|Código do Município|170765|To-Figueiropolis
municipio|Código do Município|170770|To-Filadelfia
municipio|Código do Município|170820|To-Formoso do Araguaia
municipio|Código do Município|170825|To-Fortaleza do Tabocao
municipio|Código do Município|170830|To-Goianorte
municipio|Código do Município|170900|To-Goiatins
municipio|Código do Município|170930|To-Guarai
municipio|Código do Município|170950|To-Gurupi
municipio|Código do Município|170980|To-Ipueiras
municipio|Código do Município|171050|To-Itacaja
municipio|Código do Município|171070|To-Itaguatins
municipio|Código do Município|171090|To-Itapiratins
municipio|Código do Município|171110|To-Itapora do Tocantins
municipio|Código do Município|171150|To-Jau do Tocantins
municipio|Código do Município|171180|To-Juarina
municipio|Código do Município|171190|To-Lagoa da Confusao
municipio|Código do Município|171195|To-Lagoa do Tocantins
municipio|Código do Município|171200|To-Lajeado
municipio|Código do Município|171215|To-Lavandeira
municipio|Código do Município|171240|To-Lizarda
municipio|Código do Município|171245|To-Luzinopolis
municipio|Código do Município|171250|To-Marianopolis do Tocantins
municipio|Código do Município|171270|To-Mateiros
municipio|Código do Município|171280|To-Maurilandia do Tocantins
municipio|Código do Município|171320|To-Miracema do Tocantins
municipio|Código do Município|171330|To-Miranorte
municipio|Código do Município|171360|To-Monte do Carmo
municipio|Código do Município|171370|To-Monte Santo do Tocantins
municipio|Código do Município|171380|To-Palmeiras do Tocantins
municipio|Código do Município|171395|To-Muricilandia
municipio|Código do Município|171420|To-Natividade
municipio|Código do Município|171430|To-Nazare
municipio|Código do Município|171488|To-Nova Olinda
municipio|Código do Município|171500|To-Nova Rosalandia
municipio|Código do Município|171510|To-Novo Acordo
municipio|Código do Município|171515|To-Novo Alegre
municipio|Código do Município|171525|To-Novo Jardim
municipio|Código do Município|171550|To-Oliveira de Fatima
municipio|Código do Município|171570|To-Palmeirante
municipio|Código do Município|171575|To-Palmeiropolis
municipio|Código do Município|171610|To-Paraiso do Tocantins
municipio|Código do Município|171620|To-Parana
municipio|Código do Município|171630|To-Pau D Arco
municipio|Código do Município|171650|To-Pedro Afonso
municipio|Código do Município|171660|To-Peixe
municipio|Código do Município|171665|To-Pequizeiro
municipio|Código do Município|171670|To-Colmeia
municipio|Código do Município|171700|To-Pindorama do Tocantins
municipio|Código do Município|171720|To-Piraque
municipio|Código do Município|171750|To-Pium
municipio|Código do Município|171780|To-Ponte Alta do Bom Jesus
municipio|Código do Município|171790|To-Ponte Alta do Tocantins
municipio|Código do Município|171800|To-Porto Alegre do Tocantins
municipio|Código do Município|171820|To-Porto Nacional
municipio|Código do Município|171830|To-Praia Norte
municipio|Código do Município|171840|To-Presidente Kennedy
municipio|Código do Município|171845|To-Pugmil
municipio|Código do Município|171850|To-Recursolandia
municipio|Código do Município|171855|To-Riachinho
municipio|Código do Município|171865|To-Rio da Conceicao
municipio|Código do Município|171870|To-Rio dos Bois
municipio|Código do Município|171875|To-Rio Sono
municipio|Código do Município|171880|To-Sampaio
municipio|Código do Município|171884|To-Sandolandia
municipio|Código do Município|171886|To-Santa Fe do Araguaia
municipio|Código do Município|171888|To-Santa Maria do Tocantins
municipio|Código do Município|171889|To-Santa Rita do Tocantins
municipio|Código do Município|171890|To-Santa Rosa do Tocantins
municipio|Código do Município|171900|To-Santa Tereza do Tocantins
municipio|Código do Município|172000|To-Santa Terezinha do Tocantins
municipio|Código do Município|172010|To-Sao Bento do Tocantins
municipio|Código do Município|172015|To-Sao Felix do Tocantins
municipio|Código do Município|172020|To-Sao Miguel do Tocantins
municipio|Código do Município|172025|To-Sao Salvador do Tocantins
municipio|Código do Município|172030|To-Sao Sebastiao do Tocantins
municipio|Código do Município|172049|To-Sao Valerio da Natividade
municipio|Código do Município|172065|To-Silvanopolis
municipio|Código do Município|172080|To-Sitio Novo do Tocantins
municipio|Código do Município|172085|To-Sucupira
municipio|Código do Município|172090|To-Taguatinga
municipio|Código do Município|172093|To-Taipas do Tocantins
municipio|Código do Município|172097|To-Talisma
municipio|Código do Município|172100|To-Palmas
municipio|Código do Município|172110|To-Tocantinia
municipio|Código do Município|172120|To-Tocantinopolis
municipio|Código do Município|172125|To-Tupirama
municipio|Código do Município|172130|To-Tupiratins
municipio|Código do Município|172208|To-Wanderlandia
municipio|Código do Município|172210|To-Xambioa
municipio|Código do Município|179999|To-Ignorado
municipio|Código do Município|210005|Ma-Acailandia
municipio|Código do Município|210010|Ma-Afonso Cunha
municipio|Código do Município|210015|Ma-Agua Doce do Maranhao
municipio|Código do Município|210020|Ma-Alcantara
municipio|Código do Município|210030|Ma-Aldeias Altas
municipio|Código do Município|210040|Ma-Altamira do Maranhao
municipio|Código do Município|210043|Ma-Alto Alegre do Maranhao
municipio|Código do Município|210047|Ma-Alto Alegre do Pindare
municipio|Código do Município|210050|Ma-Alto Parnaiba
municipio|Código do Município|210055|Ma-Amapa do Maranhao
municipio|Código do Município|210060|Ma-Amarante do Maranhao
municipio|Código do Município|210070|Ma-Anajatuba
municipio|Código do Município|210080|Ma-Anapurus
municipio|Código do Município|210083|Ma-Apicum-Acu
municipio|Código do Município|210087|Ma-Araguana
municipio|Código do Município|210090|Ma-Araioses
municipio|Código do Município|210095|Ma-Arame
municipio|Código do Município|210100|Ma-Arari
municipio|Código do Município|210110|Ma-Axixa
municipio|Código do Município|210120|Ma-Bacabal
municipio|Código do Município|210125|Ma-Bacabeira
municipio|Código do Município|210130|Ma-Bacuri
municipio|Código do Município|210135|Ma-Bacurituba
municipio|Código do Município|210140|Ma-Balsas
municipio|Código do Município|210150|Ma-Barao de Grajau
municipio|Código do Município|210160|Ma-Barra do Corda
municipio|Código do Município|210170|Ma-Barreirinhas
municipio|Código do Município|210173|Ma-Belagua
municipio|Código do Município|210177|Ma-Bela Vista do Maranhao
municipio|Código do Município|210180|Ma-Benedito Leite
municipio|Código do Município|210190|Ma-Bequimao
municipio|Código do Município|210193|Ma-Bernardo do Mearim
municipio|Código do Município|210197|Ma-Boa Vista do Gurupi
municipio|Código do Município|210200|Ma-Bom Jardim
municipio|Código do Município|210203|Ma-Bom Jesus das Selvas
municipio|Código do Município|210207|Ma-Bom Lugar
municipio|Código do Município|210210|Ma-Brejo
municipio|Código do Município|210215|Ma-Brejo de Areia
municipio|Código do Município|210220|Ma-Buriti
municipio|Código do Município|210230|Ma-Buriti Bravo
municipio|Código do Município|210232|Ma-Buriticupu
municipio|Código do Município|210235|Ma-Buritirana
municipio|Código do Município|210237|Ma-Cachoeira Grande
municipio|Código do Município|210240|Ma-Cajapio
municipio|Código do Município|210250|Ma-Cajari
municipio|Código do Município|210255|Ma-Campestre do Maranhao
municipio|Código do Município|210260|Ma-Candido Mendes
municipio|Código do Município|210270|Ma-Cantanhede
municipio|Código do Município|210275|Ma-Capinzal do Norte
municipio|Código do Município|210280|Ma-Carolina
municipio|Código do Município|210290|Ma-Carutapera
municipio|Código do Município|210300|Ma-Caxias
municipio|Código do Município|210310|Ma-Cedral
municipio|Código do Município|210312|Ma-Central do Maranhao
municipio|Código do Município|210315|Ma-Centro do Guilherme
municipio|Código do Município|210317|Ma-Centro Novo do Maranhao
municipio|Código do Município|210320|Ma-Chapadinha
municipio|Código do Município|210325|Ma-Cidelandia
municipio|Código do Município|210330|Ma-Codo
municipio|Código do Município|210340|Ma-Coelho Neto
municipio|Código do Município|210350|Ma-Colinas
municipio|Código do Município|210355|Ma-Conceicao do Lago-Acu
municipio|Código do Município|210360|Ma-Coroata
municipio|Código do Município|210370|Ma-Cururupu
municipio|Código do Município|210375|Ma-Davinopolis
municipio|Código do Município|210380|Ma-Dom Pedro
municipio|Código do Município|210390|Ma-Duque Bacelar
municipio|Código do Município|210400|Ma-Esperantinopolis
municipio|Código do Município|210405|Ma-Estreito
municipio|Código do Município|210407|Ma-Feira Nova do Maranhao
